date,order_id,product,category,region,quantity,unit_price,total_amount
2024-01-18,ORD-001028,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-01-19,ORD-001029,Monitor,Electronics,North,1,349.99,349.99
2024-01-19,ORD-001030,Smart Lock,Smart Home,South,1,249.99,249.99
2024-01-22,ORD-001031,Wireless Mouse,Electronics,East,3,34.99,104.97
2024-01-22,ORD-001032,Bluetooth Headphones,Audio,West,1,149.99,149.99
2024-01-23,ORD-001033,Smart Band,Wearables,North,2,59.99,119.98
2024-01-23,ORD-001034,Power Bank,Accessories,South,3,49.99,149.97
2024-01-24,ORD-001035,Smart Display,Smart Home,East,1,179.99,179.99
2024-01-24,ORD-001036,Webcam,Electronics,West,2,79.99,159.98
2024-01-25,ORD-001037,Earbuds Case,Accessories,North,5,14.99,74.95
2024-01-25,ORD-001038,Smart Watch Band,Wearables,South,3,29.99,89.97
2024-01-26,ORD-001039,Portable DAC,Audio,East,1,99.99,99.99
2024-01-26,ORD-001040,Smart Sensor Kit,Smart Home,West,2,69.99,139.98
2024-02-01,ORD-001041,Laptop,Electronics,North,1,999.99,999.99
2024-02-01,ORD-001042,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-02-02,ORD-001043,Smart Thermostat,Smart Home,East,1,179.99,179.99
2024-02-02,ORD-001044,Phone Case,Accessories,West,4,24.99,99.96
2024-02-03,ORD-001045,Smart Watch,Wearables,North,1,299.99,299.99
2024-02-03,ORD-001046,HDMI Cable,Accessories,South,6,15.99,95.94
2024-02-04,ORD-001047,Bluetooth Speaker,Audio,East,2,149.99,299.98
2024-02-04,ORD-001048,Smart Doorbell,Smart Home,West,1,199.99,199.99
2024-02-05,ORD-001049,Wireless Keyboard,Electronics,North,2,89.99,179.98
2024-02-05,ORD-001050,Fitness Tracker,Wearables,South,1,129.99,129.99
2024-02-06,ORD-001051,USB-C Cable,Accessories,East,8,12.99,103.92
2024-02-06,ORD-001052,Smart Plug Set,Smart Home,West,3,29.99,89.97
2024-02-07,ORD-001053,Noise Canceling Headphones,Audio,North,1,249.99,249.99
2024-02-07,ORD-001054,Tablet,Electronics,South,1,449.99,449.99
2024-02-08,ORD-001055,Smart Ring,Wearables,East,1,199.99,199.99
2024-02-08,ORD-001056,Laptop Stand,Accessories,West,2,45.99,91.98
2024-02-09,ORD-001057,Smart Light Bulbs,Smart Home,North,6,14.99,89.94
2024-02-09,ORD-001058,Wireless Mouse,Electronics,South,2,34.99,69.98
2024-02-12,ORD-001059,Portable Speaker,Audio,East,1,69.99,69.99
2024-02-12,ORD-001060,Screen Protector,Accessories,West,10,9.99,99.90
2024-02-13,ORD-001061,Smart Camera,Smart Home,North,2,129.99,259.98
2024-02-13,ORD-001062,Smart Watch,Wearables,South,1,299.99,299.99
2024-02-14,ORD-001063,Monitor,Electronics,East,1,349.99,349.99
2024-02-14,ORD-001064,Wireless Earbuds,Audio,West,3,79.99,239.97
2024-02-15,ORD-001065,Car Charger,Accessories,North,4,19.99,79.96
2024-02-15,ORD-001066,Smart Lock,Smart Home,South,1,249.99,249.99
2024-02-16,ORD-001067,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-02-16,ORD-001068,Webcam,Electronics,West,1,79.99,79.99
2024-02-19,ORD-001069,Soundbar,Audio,North,1,199.99,199.99
2024-02-19,ORD-001070,USB Hub,Accessories,South,3,39.99,119.97
2024-02-20,ORD-001071,Smart Display,Smart Home,East,1,179.99,179.99
2024-02-20,ORD-001072,Smart Band,Wearables,West,2,59.99,119.98
2024-02-21,ORD-001073,Laptop,Electronics,North,1,999.99,999.99
2024-02-21,ORD-001074,Bluetooth Headphones,Audio,South,2,149.99,299.98
2024-02-22,ORD-001075,Power Bank,Accessories,East,2,49.99,99.98
2024-02-22,ORD-001076,Smart Sensor Kit,Smart Home,West,1,69.99,69.99
2024-02-23,ORD-001077,Smart Watch Band,Wearables,North,4,29.99,119.96
2024-02-23,ORD-001078,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-02-26,ORD-001079,Earbuds Case,Accessories,East,3,14.99,44.97
2024-02-26,ORD-001080,Portable DAC,Audio,West,1,99.99,99.99
2024-03-01,ORD-001081,Smart Thermostat,Smart Home,North,2,179.99,359.98
2024-03-01,ORD-001082,Tablet,Electronics,South,1,449.99,449.99
2024-03-02,ORD-001083,Wireless Earbuds,Audio,East,2,79.99,159.98
2024-03-02,ORD-001084,Smart Watch,Wearables,West,1,299.99,299.99
2024-03-03,ORD-001085,Phone Case,Accessories,North,5,24.99,124.95
2024-03-03,ORD-001086,Smart Doorbell,Smart Home,South,1,199.99,199.99
2024-03-04,ORD-001087,Bluetooth Speaker,Audio,East,1,149.99,149.99
2024-03-04,ORD-001088,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-03-05,ORD-001089,Monitor,Electronics,North,1,349.99,349.99
2024-03-05,ORD-001090,HDMI Cable,Accessories,South,5,15.99,79.95
2024-03-06,ORD-001091,Smart Plug Set,Smart Home,East,2,29.99,59.98
2024-03-06,ORD-001092,Wireless Mouse,Electronics,West,3,34.99,104.97
2024-03-07,ORD-001093,Noise Canceling Headphones,Audio,North,2,249.99,499.98
2024-03-07,ORD-001094,Smart Ring,Wearables,South,1,199.99,199.99
2024-03-08,ORD-001095,USB-C Cable,Accessories,East,6,12.99,77.94
2024-03-08,ORD-001096,Smart Light Bulbs,Smart Home,West,8,14.99,119.92
2024-03-11,ORD-001097,Laptop Stand,Accessories,North,1,45.99,45.99
2024-03-11,ORD-001098,Laptop,Electronics,South,2,999.99,1999.98
2024-03-12,ORD-001099,Portable Speaker,Audio,East,2,69.99,139.98
2024-03-12,ORD-001100,Smart Camera,Smart Home,West,1,129.99,129.99
2024-03-13,ORD-001101,Smart Band,Wearables,North,3,59.99,179.97
2024-03-13,ORD-001102,Webcam,Electronics,South,2,79.99,159.98
2024-03-14,ORD-001103,Screen Protector,Accessories,East,8,9.99,79.92
2024-03-14,ORD-001104,Smart Lock,Smart Home,West,1,249.99,249.99
2024-03-15,ORD-001105,Wireless Earbuds,Audio,North,1,79.99,79.99
2024-03-15,ORD-001106,Smart Watch,Wearables,South,2,299.99,599.98
2024-03-18,ORD-001107,Car Charger,Accessories,East,5,19.99,99.95
2024-03-18,ORD-001108,Smart Display,Smart Home,West,1,179.99,179.99
2024-03-19,ORD-001109,Soundbar,Audio,North,1,199.99,199.99
2024-03-19,ORD-001110,Tablet,Electronics,South,1,449.99,449.99
2024-03-20,ORD-001111,Fitness Tracker,Wearables,East,1,129.99,129.99
2024-03-20,ORD-001112,USB Hub,Accessories,West,2,39.99,79.98
2024-03-21,ORD-001113,Smart Sensor Kit,Smart Home,North,2,69.99,139.98
2024-03-21,ORD-001114,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-03-22,ORD-001115,Bluetooth Headphones,Audio,East,1,149.99,149.99
2024-03-22,ORD-001116,Smart Watch Band,Wearables,West,3,29.99,89.97
2024-03-25,ORD-001117,Power Bank,Accessories,North,2,49.99,99.98
2024-03-25,ORD-001118,Smart Thermostat,Smart Home,South,1,179.99,179.99
2024-03-26,ORD-001119,Monitor,Electronics,East,1,349.99,349.99
2024-03-26,ORD-001120,Portable DAC,Audio,West,2,99.99,199.98
2024-04-01,ORD-001121,Smart Doorbell,Smart Home,North,1,199.99,199.99
2024-04-01,ORD-001122,Wireless Earbuds,Audio,South,3,79.99,239.97
2024-04-02,ORD-001123,Smart Watch,Wearables,East,1,299.99,299.99
2024-04-02,ORD-001124,Phone Case,Accessories,West,6,24.99,149.94
2024-04-03,ORD-001125,Laptop,Electronics,North,1,999.99,999.99
2024-04-03,ORD-001126,Smart Plug Set,Smart Home,South,3,29.99,89.97
2024-04-04,ORD-001127,Bluetooth Speaker,Audio,East,2,149.99,299.98
2024-04-04,ORD-001128,Fitness Tracker,Wearables,West,1,129.99,129.99
2024-04-05,ORD-001129,HDMI Cable,Accessories,North,4,15.99,63.96
2024-04-05,ORD-001130,Smart Light Bulbs,Smart Home,South,6,14.99,89.94
2024-04-08,ORD-001131,Wireless Mouse,Electronics,East,2,34.99,69.98
2024-04-08,ORD-001132,Noise Canceling Headphones,Audio,West,1,249.99,249.99
2024-04-09,ORD-001133,Smart Ring,Wearables,North,1,199.99,199.99
2024-04-09,ORD-001134,USB-C Cable,Accessories,South,10,12.99,129.90
2024-04-10,ORD-001135,Smart Camera,Smart Home,East,2,129.99,259.98
2024-04-10,ORD-001136,Tablet,Electronics,West,1,449.99,449.99
2024-04-11,ORD-001137,Smart Band,Wearables,North,2,59.99,119.98
2024-04-11,ORD-001138,Laptop Stand,Accessories,South,3,45.99,137.97
2024-04-12,ORD-001139,Portable Speaker,Audio,East,1,69.99,69.99
2024-04-12,ORD-001140,Smart Lock,Smart Home,West,1,249.99,249.99
2024-04-15,ORD-001141,Webcam,Electronics,North,1,79.99,79.99
2024-04-15,ORD-001142,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-04-16,ORD-001143,Smart Watch,Wearables,East,2,299.99,599.98
2024-04-16,ORD-001144,Screen Protector,Accessories,West,12,9.99,119.88
2024-04-17,ORD-001145,Smart Display,Smart Home,North,1,179.99,179.99
2024-04-17,ORD-001146,Monitor,Electronics,South,1,349.99,349.99
2024-04-18,ORD-001147,Soundbar,Audio,East,1,199.99,199.99
2024-04-18,ORD-001148,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-04-19,ORD-001149,Car Charger,Accessories,North,3,19.99,59.97
2024-04-19,ORD-001150,Smart Sensor Kit,Smart Home,South,1,69.99,69.99
2024-04-22,ORD-001151,Wireless Keyboard,Electronics,East,2,89.99,179.98
2024-04-22,ORD-001152,Bluetooth Headphones,Audio,West,1,149.99,149.99
2024-04-23,ORD-001153,Smart Watch Band,Wearables,North,5,29.99,149.95
2024-04-23,ORD-001154,USB Hub,Accessories,South,2,39.99,79.98
2024-04-24,ORD-001155,Smart Thermostat,Smart Home,East,1,179.99,179.99
2024-04-24,ORD-001156,Laptop,Electronics,West,1,999.99,999.99
2024-04-25,ORD-001157,Power Bank,Accessories,North,4,49.99,199.96
2024-04-25,ORD-001158,Portable DAC,Audio,South,1,99.99,99.99
2024-04-26,ORD-001159,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-04-26,ORD-001160,Smart Ring,Wearables,West,1,199.99,199.99
2024-05-01,ORD-001161,Wireless Earbuds,Audio,North,2,79.99,159.98
2024-05-01,ORD-001162,Phone Case,Accessories,South,8,24.99,199.92
2024-05-02,ORD-001163,Smart Watch,Wearables,East,1,299.99,299.99
2024-05-02,ORD-001164,Smart Plug Set,Smart Home,West,4,29.99,119.96
2024-05-03,ORD-001165,Tablet,Electronics,North,1,449.99,449.99
2024-05-03,ORD-001166,Bluetooth Speaker,Audio,South,1,149.99,149.99
2024-05-06,ORD-001167,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-05-06,ORD-001168,HDMI Cable,Accessories,West,6,15.99,95.94
2024-05-07,ORD-001169,Smart Light Bulbs,Smart Home,North,10,14.99,149.90
2024-05-07,ORD-001170,Wireless Mouse,Electronics,South,3,34.99,104.97
2024-05-08,ORD-001171,Noise Canceling Headphones,Audio,East,1,249.99,249.99
2024-05-08,ORD-001172,Smart Camera,Smart Home,West,1,129.99,129.99
2024-05-09,ORD-001173,Smart Band,Wearables,North,2,59.99,119.98
2024-05-09,ORD-001174,USB-C Cable,Accessories,South,5,12.99,64.95
2024-05-10,ORD-001175,Monitor,Electronics,East,2,349.99,699.98
2024-05-10,ORD-001176,Portable Speaker,Audio,West,2,69.99,139.98
2024-05-13,ORD-001177,Smart Lock,Smart Home,North,1,249.99,249.99
2024-05-13,ORD-001178,Smart Watch,Wearables,South,1,299.99,299.99
2024-05-14,ORD-001179,Laptop Stand,Accessories,East,2,45.99,91.98
2024-05-14,ORD-001180,Webcam,Electronics,West,2,79.99,159.98
2024-05-15,ORD-001181,Soundbar,Audio,North,1,199.99,199.99
2024-05-15,ORD-001182,Smart Display,Smart Home,South,2,179.99,359.98
2024-05-16,ORD-001183,Fitness Tracker,Wearables,East,1,129.99,129.99
2024-05-16,ORD-001184,Screen Protector,Accessories,West,15,9.99,149.85
2024-05-17,ORD-001185,Laptop,Electronics,North,1,999.99,999.99
2024-05-17,ORD-001186,Wireless Earbuds,Audio,South,1,79.99,79.99
2024-05-20,ORD-001187,Smart Sensor Kit,Smart Home,East,2,69.99,139.98
2024-05-20,ORD-001188,Smart Ring,Wearables,West,1,199.99,199.99
2024-05-21,ORD-001189,Car Charger,Accessories,North,4,19.99,79.96
2024-05-21,ORD-001190,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-05-22,ORD-001191,Bluetooth Headphones,Audio,East,2,149.99,299.98
2024-05-22,ORD-001192,Smart Thermostat,Smart Home,West,1,179.99,179.99
2024-05-23,ORD-001193,Smart Watch Band,Wearables,North,3,29.99,89.97
2024-05-23,ORD-001194,USB Hub,Accessories,South,3,39.99,119.97
2024-05-24,ORD-001195,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-05-24,ORD-001196,Tablet,Electronics,West,1,449.99,449.99
2024-05-27,ORD-001197,Power Bank,Accessories,North,2,49.99,99.98
2024-05-27,ORD-001198,Portable DAC,Audio,South,1,99.99,99.99
2024-05-28,ORD-001199,Smart Plug Set,Smart Home,East,2,29.99,59.98
2024-05-28,ORD-001200,Smart Band,Wearables,West,3,59.99,179.97
2024-06-03,ORD-001201,Wireless Earbuds,Audio,North,3,79.99,239.97
2024-06-03,ORD-001202,Phone Case,Accessories,South,5,24.99,124.95
2024-06-04,ORD-001203,Smart Watch,Wearables,East,2,299.99,599.98
2024-06-04,ORD-001204,Smart Light Bulbs,Smart Home,West,8,14.99,119.92
2024-06-05,ORD-001205,Laptop,Electronics,North,1,999.99,999.99
2024-06-05,ORD-001206,Bluetooth Speaker,Audio,South,2,149.99,299.98
2024-06-06,ORD-001207,Fitness Tracker,Wearables,East,1,129.99,129.99
2024-06-06,ORD-001208,HDMI Cable,Accessories,West,8,15.99,127.92
2024-06-07,ORD-001209,Smart Camera,Smart Home,North,2,129.99,259.98
2024-06-07,ORD-001210,Wireless Mouse,Electronics,South,2,34.99,69.98
2024-06-10,ORD-001211,Noise Canceling Headphones,Audio,East,1,249.99,249.99
2024-06-10,ORD-001212,Smart Lock,Smart Home,West,1,249.99,249.99
2024-06-11,ORD-001213,Smart Ring,Wearables,North,2,199.99,399.98
2024-06-11,ORD-001214,USB-C Cable,Accessories,South,7,12.99,90.93
2024-06-12,ORD-001215,Monitor,Electronics,East,1,349.99,349.99
2024-06-12,ORD-001216,Portable Speaker,Audio,West,1,69.99,69.99
2024-06-13,ORD-001217,Smart Display,Smart Home,North,1,179.99,179.99
2024-06-13,ORD-001218,Smart Watch,Wearables,South,1,299.99,299.99
2024-06-14,ORD-001219,Laptop Stand,Accessories,East,3,45.99,137.97
2024-06-14,ORD-001220,Webcam,Electronics,West,1,79.99,79.99
2024-06-17,ORD-001221,Soundbar,Audio,North,2,199.99,399.98
2024-06-17,ORD-001222,Smart Thermostat,Smart Home,South,1,179.99,179.99
2024-06-18,ORD-001223,Smart Band,Wearables,East,2,59.99,119.98
2024-06-18,ORD-001224,Screen Protector,Accessories,West,10,9.99,99.90
2024-06-19,ORD-001225,Tablet,Electronics,North,1,449.99,449.99
2024-06-19,ORD-001226,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-06-20,ORD-001227,Smart Sensor Kit,Smart Home,East,1,69.99,69.99
2024-06-20,ORD-001228,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-06-21,ORD-001229,Car Charger,Accessories,North,6,19.99,119.94
2024-06-21,ORD-001230,Wireless Keyboard,Electronics,South,2,89.99,179.98
2024-06-24,ORD-001231,Bluetooth Headphones,Audio,East,1,149.99,149.99
2024-06-24,ORD-001232,Smart Plug Set,Smart Home,West,3,29.99,89.97
2024-06-25,ORD-001233,Smart Watch Band,Wearables,North,4,29.99,119.96
2024-06-25,ORD-001234,USB Hub,Accessories,South,2,39.99,79.98
2024-06-26,ORD-001235,Smart Doorbell,Smart Home,East,2,199.99,399.98
2024-06-26,ORD-001236,Laptop,Electronics,West,1,999.99,999.99
2024-06-27,ORD-001237,Power Bank,Accessories,North,3,49.99,149.97
2024-06-27,ORD-001238,Portable DAC,Audio,South,2,99.99,199.98
2024-06-28,ORD-001239,Smart Light Bulbs,Smart Home,East,6,14.99,89.94
2024-06-28,ORD-001240,Smart Ring,Wearables,West,1,199.99,199.99
2024-07-01,ORD-001241,Wireless Earbuds,Audio,North,2,79.99,159.98
2024-07-01,ORD-001242,Phone Case,Accessories,South,6,24.99,149.94
2024-07-02,ORD-001243,Smart Watch,Wearables,East,1,299.99,299.99
2024-07-02,ORD-001244,Smart Camera,Smart Home,West,2,129.99,259.98
2024-07-03,ORD-001245,Tablet,Electronics,North,2,449.99,899.98
2024-07-03,ORD-001246,Bluetooth Speaker,Audio,South,1,149.99,149.99
2024-07-05,ORD-001247,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-07-05,ORD-001248,HDMI Cable,Accessories,West,5,15.99,79.95
2024-07-08,ORD-001249,Smart Lock,Smart Home,North,1,249.99,249.99
2024-07-08,ORD-001250,Wireless Mouse,Electronics,South,4,34.99,139.96
2024-07-09,ORD-001251,Noise Canceling Headphones,Audio,East,2,249.99,499.98
2024-07-09,ORD-001252,Smart Plug Set,Smart Home,West,2,29.99,59.98
2024-07-10,ORD-001253,Smart Ring,Wearables,North,1,199.99,199.99
2024-07-10,ORD-001254,USB-C Cable,Accessories,South,8,12.99,103.92
2024-07-11,ORD-001255,Monitor,Electronics,East,1,349.99,349.99
2024-07-11,ORD-001256,Portable Speaker,Audio,West,2,69.99,139.98
2024-07-12,ORD-001257,Smart Display,Smart Home,North,1,179.99,179.99
2024-07-12,ORD-001258,Smart Watch,Wearables,South,2,299.99,599.98
2024-07-15,ORD-001259,Laptop Stand,Accessories,East,2,45.99,91.98
2024-07-15,ORD-001260,Webcam,Electronics,West,2,79.99,159.98
2024-07-16,ORD-001261,Soundbar,Audio,North,1,199.99,199.99
2024-07-16,ORD-001262,Smart Thermostat,Smart Home,South,2,179.99,359.98
2024-07-17,ORD-001263,Smart Band,Wearables,East,3,59.99,179.97
2024-07-17,ORD-001264,Screen Protector,Accessories,West,12,9.99,119.88
2024-07-18,ORD-001265,Laptop,Electronics,North,1,999.99,999.99
2024-07-18,ORD-001266,Wireless Earbuds,Audio,South,1,79.99,79.99
2024-07-19,ORD-001267,Smart Sensor Kit,Smart Home,East,2,69.99,139.98
2024-07-19,ORD-001268,Fitness Tracker,Wearables,West,1,129.99,129.99
2024-07-22,ORD-001269,Car Charger,Accessories,North,5,19.99,99.95
2024-07-22,ORD-001270,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-07-23,ORD-001271,Bluetooth Headphones,Audio,East,2,149.99,299.98
2024-07-23,ORD-001272,Smart Light Bulbs,Smart Home,West,10,14.99,149.90
2024-07-24,ORD-001273,Smart Watch Band,Wearables,North,3,29.99,89.97
2024-07-24,ORD-001274,USB Hub,Accessories,South,4,39.99,159.96
2024-07-25,ORD-001275,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-07-25,ORD-001276,Tablet,Electronics,West,1,449.99,449.99
2024-07-26,ORD-001277,Power Bank,Accessories,North,2,49.99,99.98
2024-07-26,ORD-001278,Portable DAC,Audio,South,1,99.99,99.99
2024-07-29,ORD-001279,Smart Plug Set,Smart Home,East,3,29.99,89.97
2024-07-29,ORD-001280,Smart Ring,Wearables,West,2,199.99,399.98
2024-08-01,ORD-001281,Wireless Earbuds,Audio,North,2,79.99,159.98
2024-08-01,ORD-001282,Phone Case,Accessories,South,7,24.99,174.93
2024-08-02,ORD-001283,Smart Watch,Wearables,East,1,299.99,299.99
2024-08-02,ORD-001284,Smart Camera,Smart Home,West,1,129.99,129.99
2024-08-05,ORD-001285,Laptop,Electronics,North,2,999.99,1999.98
2024-08-05,ORD-001286,Bluetooth Speaker,Audio,South,2,149.99,299.98
2024-08-06,ORD-001287,Fitness Tracker,Wearables,East,1,129.99,129.99
2024-08-06,ORD-001288,HDMI Cable,Accessories,West,6,15.99,95.94
2024-08-07,ORD-001289,Smart Lock,Smart Home,North,1,249.99,249.99
2024-08-07,ORD-001290,Wireless Mouse,Electronics,South,2,34.99,69.98
2024-08-08,ORD-001291,Noise Canceling Headphones,Audio,East,1,249.99,249.99
2024-08-08,ORD-001292,Smart Light Bulbs,Smart Home,West,12,14.99,179.88
2024-08-09,ORD-001293,Smart Ring,Wearables,North,1,199.99,199.99
2024-08-09,ORD-001294,USB-C Cable,Accessories,South,6,12.99,77.94
2024-08-12,ORD-001295,Monitor,Electronics,East,2,349.99,699.98
2024-08-12,ORD-001296,Portable Speaker,Audio,West,1,69.99,69.99
2024-08-13,ORD-001297,Smart Display,Smart Home,North,2,179.99,359.98
2024-08-13,ORD-001298,Smart Watch,Wearables,South,1,299.99,299.99
2024-08-14,ORD-001299,Laptop Stand,Accessories,East,1,45.99,45.99
2024-08-14,ORD-001300,Webcam,Electronics,West,3,79.99,239.97
2024-08-15,ORD-001301,Soundbar,Audio,North,1,199.99,199.99
2024-08-15,ORD-001302,Smart Thermostat,Smart Home,South,1,179.99,179.99
2024-08-16,ORD-001303,Smart Band,Wearables,East,2,59.99,119.98
2024-08-16,ORD-001304,Screen Protector,Accessories,West,8,9.99,79.92
2024-08-19,ORD-001305,Tablet,Electronics,North,1,449.99,449.99
2024-08-19,ORD-001306,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-08-20,ORD-001307,Smart Sensor Kit,Smart Home,East,1,69.99,69.99
2024-08-20,ORD-001308,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-08-21,ORD-001309,Car Charger,Accessories,North,4,19.99,79.96
2024-08-21,ORD-001310,Wireless Keyboard,Electronics,South,2,89.99,179.98
2024-08-22,ORD-001311,Bluetooth Headphones,Audio,East,1,149.99,149.99
2024-08-22,ORD-001312,Smart Plug Set,Smart Home,West,2,29.99,59.98
2024-08-23,ORD-001313,Smart Watch Band,Wearables,North,4,29.99,119.96
2024-08-23,ORD-001314,USB Hub,Accessories,South,2,39.99,79.98
2024-08-26,ORD-001315,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-08-26,ORD-001316,Laptop,Electronics,West,1,999.99,999.99
2024-08-27,ORD-001317,Power Bank,Accessories,North,3,49.99,149.97
2024-08-27,ORD-001318,Portable DAC,Audio,South,1,99.99,99.99
2024-08-28,ORD-001319,Smart Light Bulbs,Smart Home,East,8,14.99,119.92
2024-08-28,ORD-001320,Smart Ring,Wearables,West,1,199.99,199.99
2024-09-02,ORD-001321,Wireless Earbuds,Audio,North,3,79.99,239.97
2024-09-02,ORD-001322,Phone Case,Accessories,South,5,24.99,124.95
2024-09-03,ORD-001323,Smart Watch,Wearables,East,2,299.99,599.98
2024-09-03,ORD-001324,Smart Camera,Smart Home,West,1,129.99,129.99
2024-09-04,ORD-001325,Tablet,Electronics,North,1,449.99,449.99
2024-09-04,ORD-001326,Bluetooth Speaker,Audio,South,1,149.99,149.99
2024-09-05,ORD-001327,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-09-05,ORD-001328,HDMI Cable,Accessories,West,7,15.99,111.93
2024-09-06,ORD-001329,Smart Lock,Smart Home,North,2,249.99,499.98
2024-09-06,ORD-001330,Wireless Mouse,Electronics,South,3,34.99,104.97
2024-09-09,ORD-001331,Noise Canceling Headphones,Audio,East,1,249.99,249.99
2024-09-09,ORD-001332,Smart Plug Set,Smart Home,West,4,29.99,119.96
2024-09-10,ORD-001333,Smart Ring,Wearables,North,1,199.99,199.99
2024-09-10,ORD-001334,USB-C Cable,Accessories,South,9,12.99,116.91
2024-09-11,ORD-001335,Monitor,Electronics,East,1,349.99,349.99
2024-09-11,ORD-001336,Portable Speaker,Audio,West,2,69.99,139.98
2024-09-12,ORD-001337,Smart Display,Smart Home,North,1,179.99,179.99
2024-09-12,ORD-001338,Smart Watch,Wearables,South,1,299.99,299.99
2024-09-13,ORD-001339,Laptop Stand,Accessories,East,2,45.99,91.98
2024-09-13,ORD-001340,Webcam,Electronics,West,1,79.99,79.99
2024-09-16,ORD-001341,Soundbar,Audio,North,2,199.99,399.98
2024-09-16,ORD-001342,Smart Thermostat,Smart Home,South,1,179.99,179.99
2024-09-17,ORD-001343,Smart Band,Wearables,East,3,59.99,179.97
2024-09-17,ORD-001344,Screen Protector,Accessories,West,10,9.99,99.90
2024-09-18,ORD-001345,Laptop,Electronics,North,1,999.99,999.99
2024-09-18,ORD-001346,Wireless Earbuds,Audio,South,1,79.99,79.99
2024-09-19,ORD-001347,Smart Sensor Kit,Smart Home,East,2,69.99,139.98
2024-09-19,ORD-001348,Fitness Tracker,Wearables,West,1,129.99,129.99
2024-09-20,ORD-001349,Car Charger,Accessories,North,5,19.99,99.95
2024-09-20,ORD-001350,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-09-23,ORD-001351,Bluetooth Headphones,Audio,East,2,149.99,299.98
2024-09-23,ORD-001352,Smart Light Bulbs,Smart Home,West,6,14.99,89.94
2024-09-24,ORD-001353,Smart Watch Band,Wearables,North,3,29.99,89.97
2024-09-24,ORD-001354,USB Hub,Accessories,South,3,39.99,119.97
2024-09-25,ORD-001355,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-09-25,ORD-001356,Tablet,Electronics,West,2,449.99,899.98
2024-09-26,ORD-001357,Power Bank,Accessories,North,2,49.99,99.98
2024-09-26,ORD-001358,Portable DAC,Audio,South,2,99.99,199.98
